#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237645879551066262,348.902530171573,1.27188624932946,19.38905,18.24496,17.58728,17.20807,16.90905,94,301,6,94,430194949951088640,GALAXY,0.03212454,382,51816,368
1237645879578460255,51.4436950026148,1.27007271795861,19.52808,17.96541,17.03493,16.53754,16.14154,94,301,6,512,466235292731336704,GALAXY,0.1213151,414,51869,410
1237645879578460271,51.4835835170322,1.27201267342336,18.72268,17.3852,16.81134,16.51803,16.29502,94,301,6,512,466232818830174208,GALAXY,0.04876465,414,51869,401
1237645941291614227,49.6274851210218,-1.0417691497987,17.65612,16.17133,15.5894,15.3785,15.26744,109,301,1,100,1705795582662043648,STAR,-9.765775E-05,1515,52932,208
1237645941824356443,40.2856904119424,-0.71495662825756,17.54884,15.75164,15.031,14.66728,14.36099,109,301,2,37,459394680333821952,GALAXY,0.04028672,408,51821,100
1237645941824356481,40.2721052364832,-0.642510265945889,19.23401,17.5333,16.8743,16.63157,16.49762,109,301,2,37,1204744279872792576,STAR,-5.2202E-05,1070,52591,114
1237645942898229350,40.5820323404104,0.134770090982145,18.64558,16.44336,15.52452,15.18185,14.98858,109,301,4,39,8253120482569592832,STAR,0.000177167,7330,56684,997
1237645942905438473,57.025336578067,0.20884499634774,17.61444,16.17125,15.52131,15.15564,14.86996,109,301,4,149,1398488404370417664,GALAXY,0.0254747,1242,52901,439
1237645942905438495,57.0470524254038,0.0843042629762005,19.46874,18.18264,17.59063,17.26436,16.95295,109,301,4,149,1721601612033583104,GALAXY,0.03616738,1529,52930,366
1237645942905569371,57.281615211522,0.0187678802337251,16.4848,14.92993,14.56054,14.53054,14.19394,109,301,4,151,1398498574852974592,STAR,-0.0001421523,1242,52901,476
