SpecObjID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
299489676975171584,0.02127545,9.121824E-06,17.15042,15.49709,14.67401,14.23429,13.90754
299489677444933632,0.02122228,9.465381E-06,17.15042,15.49709,14.67401,14.23429,13.90754
299489951853078528,0.2139246,5.23439E-05,20.43201,18.64892,17.46552,16.99866,16.67051
299489952322840576,0.2037833,3.89048E-05,21.33477,19.1311,17.71072,17.14913,16.75609
299490501608892416,0.1265536,6.185426E-05,20.77302,18.64713,17.30827,16.71435,16.21529
299490502078654464,0.06465632,2.0662E-05,19.50913,17.59275,16.67357,16.20524,15.83744
299490776486799360,0.4486449,0.0001679451,25.34187,21.41487,19.63125,18.82388,18.31009
299491051364706304,0.05598787,1.141557E-05,null,null,null,null,null
299491051834468352,0.05265425,8.614109E-06,19.48928,18.32375,17.8396,17.52613,17.42273
299491326712375296,0.2138606,4.031544E-05,20.43201,18.64892,17.46552,16.99866,16.67051
299491601120520192,0.09063296,2.65433E-05,19.06631,17.28672,16.36084,15.93414,15.64183
299491876468189184,0.4482199,0.0001066882,25.34187,21.41487,19.63125,18.82388,18.31009
299492150876334080,0.08933747,3.616046E-05,20.72383,18.48659,17.46213,19.39146,16.40343
299492151346096128,0.3711277,6.93721E-05,22.20296,20.35373,18.53101,17.95463,17.54962
299492425754241024,0.2037688,5.072075E-05,21.33477,19.1311,17.71072,17.14913,16.75609
299492426224003072,0.1212705,2.837492E-05,19.96076,17.99332,16.84476,16.36045,15.93532
299492700632147968,0.06502353,1.094201E-05,19.06883,17.61594,16.96992,16.57557,16.34017
299492701101910016,0.05598059,9.574063E-06,null,null,null,null,null
299492975510054912,0.1213164,3.150687E-05,19.96076,17.99332,16.84476,16.36045,15.93532
299492975979816960,0.09708638,2.930541E-05,20.31863,18.5103,17.61213,17.2037,16.89944
299493250857723904,0.06477907,7.535732E-06,null,null,null,null,null
299493525265868800,0.06477667,8.352577E-06,null,null,null,null,null
299493800143775744,0.05265867,8.914165E-06,19.48928,18.32375,17.8396,17.52613,17.42273
299493800613537792,0.1265899,4.931949E-05,20.77302,18.64713,17.30827,16.71435,16.21529
299494075021682688,0.06458879,1.6454E-05,19.50913,17.59275,16.67357,16.20524,15.83744
299494075491444736,0.06495924,9.294928E-06,19.06883,17.61594,16.96992,16.57557,16.34017
299494349899589632,0.3712488,8.819308E-05,22.20296,20.35373,18.53101,17.95463,17.54962
299494350369351680,0.08429205,2.641273E-05,19.9029,18.33512,17.60977,17.20725,17.14689
299494624777496576,0.08439621,2.802153E-05,19.9029,18.33512,17.60977,17.20725,17.14689
